S No.,total_ft,nphd_ft,GPHD,f(nphd)
5,1069,356.333333,20,1
3,920,306.666667,18.87,0.9435
2,763,254.333333,17.49,0.8745
1,712,237.333333,16.98,0.849
4,628,209.333333,16.08,0.804
7,596,198.666667,15.71,0.7855
6,497,165.666667,14.44,0.722
15,478,159.333333,14.18,0.709
14,428,142.666667,13.43,0.6715
10,395,131.666667,12.9,0.645
12,369,123,12.46,0.623
11,361,120.333333,12.31,0.6155
37,334,111.333333,11.82,0.591
17,328,109.333333,11.7,0.585
19,324,108,11.63,0.5815
9,310,103.333333,11.35,0.5675
49,278,92.666667,10.69,0.5345
25,275,91.666667,10.62,0.531
13,260,86.666667,10.29,0.5145
16,246,82,9.96,0.498
26,244,81.333333,9.91,0.4955
35,236,78.666667,9.72,0.486
38,234,78,9.67,0.4835
32,233,77.666667,9.65,0.4825
21,227,75.666667,9.5,0.475
29,225,75,9.45,0.4725
44,225,75,9.45,0.4725
36,216,72,9.22,0.461
41,209,69.666667,9.04,0.452
8,208,69.333333,9.01,0.4505
34,200,66.666667,8.8,0.44
90,197,65.666667,8.71,0.4355
24,181,60.333333,8.26,0.413
43,180,60,8.23,0.4115
40,178,59.333333,8.18,0.409
60,170,56.666667,7.94,0.397
31,167,55.666667,7.85,0.3925
78,166,55.333333,7.82,0.391
39,165,55,7.79,0.3895
71,164,54.666667,7.76,0.388
18,161,53.666667,7.66,0.383
20,156,52,7.51,0.3755
57,147,49,7.22,0.361
79,147,49,7.22,0.361
55,139,46.333333,6.95,0.3475
59,137,45.666667,6.88,0.344
22,136,45.333333,6.85,0.3425
27,135,45,6.81,0.3405
46,132,44,6.71,0.3355
30,131,43.666667,6.67,0.3335
54,130,43.333333,6.64,0.332
58,128,42.666667,6.57,0.3285
33,119,39.666667,6.24,0.312
66,117,39,6.17,0.3085
70,111,37,5.94,0.297
87,99,33,5.47,0.2735
48,98,32.666667,5.43,0.2715
82,98,32.666667,5.43,0.2715
72,96,32,5.34,0.267
81,85,28.333333,4.88,0.244
56,83,27.666667,4.79,0.2395
50,82,27.333333,4.75,0.2375
91,77,25.666667,4.52,0.226
89,71,23.666667,4.25,0.2125
95,67,22.333333,4.06,0.203
85,66,22,4.01,0.2005
84,63,21,3.86,0.193
51,60,20,3.72,0.186
28,57,19,3.56,0.178
68,53,17.666667,3.36,0.168
92,53,17.666667,3.36,0.168
67,52,17.333333,3.31,0.1655
94,50,16.666667,3.2,0.16
23,48,16,3.09,0.1545
52,48,16,3.09,0.1545
76,48,16,3.09,0.1545
80,45,15,2.93,0.1465
45,42,14,2.76,0.138
47,41,13.666667,2.71,0.1355
69,41,13.666667,2.71,0.1355
88,37,12.333333,2.48,0.124
63,36,12,2.42,0.121
77,36,12,2.42,0.121
97,31,10.333333,2.12,0.106
53,30,10,2.06,0.103
75,28,9.333333,1.94,0.097
62,20,6.666667,1.43,0.0715
74,18,6,1.3,0.065
99,18,6,1.3,0.065
100,17,5.666667,1.23,0.0615
65,16,5.333333,1.16,0.058
64,15,5,1.1,0.055
86,14,4.666667,1.03,0.0515
93,11,3.666667,0.82,0.041
96,11,3.666667,0.82,0.041
73,9,3,0.67,0.0335
42,8,2.666667,0.6,0.03
61,8,2.666667,0.6,0.03
83,8,2.666667,0.6,0.03
98,8,2.666667,0.6,0.03
