institute_id,institute_name,year,ft_year1,pt_year1,total_year1,ft_year2,pt_year2,total_year2,ft_year3,pt_year3,total_year3,Nphd
IR-E-U-0456,Indian Institute of Technology Madras,2023,231,0,231,203,2,205,264,3,267,234.3333
IR-E-I-1074,Indian Institute of Technology Delhi,2023,238,69,307,230,71,301,228,98,326,311.3333
IR-E-U-0306,Indian Institute of Technology Bombay,2023,416,26,442,122,150,272,205,66,271,328.3333
IR-E-I-1075,Indian Institute of Technology Kanpur,2023,190,5,195,208,6,214,232,4,236,215
IR-E-U-0560,Indian Institute of Technology Roorkee,2023,169,12,181,185,14,199,235,14,249,209.6667
IR-E-U-0573,Indian Institute of Technology Kharagpur,2023,361,0,361,319,0,319,402,0,402,360.6667
IR-E-U-0053,Indian Institute of Technology Guwahati,2023,195,14,209,161,18,179,239,49,288,225.3333
IR-E-U-0013,Indian Institute of Technology Hyderabad,2023,84,14,98,59,9,68,46,6,52,72.6667
IR-E-U-0467,National Institute of Technology Tiruchirappalli,2023,87,36,123,121,43,164,117,43,160,149
IR-E-U-0575,Jadavpur University,2023,136,0,136,102,0,102,113,0,113,117
IR-E-U-0490,Vellore Institute of Technology,2023,145,99,244,205,120,325,129,153,282,283.6667
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",2023,103,23,126,104,16,120,114,19,133,126.3333
IR-E-U-0439,Anna University,2023,153,117,270,130,91,221,79,95,174,221.6667
IR-E-U-0273,Indian Institute of Technology Indore,2023,96,0,96,71,2,73,77,1,78,82.3333
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,2023,95,0,95,112,0,112,115,0,115,107.3333
IR-E-U-0357,National Institute of Technology Rourkela,2023,123,0,123,90,0,90,114,0,114,109
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),2023,163,87,250,76,37,113,68,45,113,158.6667
IR-E-U-0139,Indian Institute of Technology Gandhinagar,2023,37,1,38,84,1,85,50,1,51,58
IR-E-U-0436,Amrita Vishwa Vidyapeetham,2023,11,34,45,13,25,38,10,18,28,37
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2023,74,23,97,69,22,91,78,40,118,102
IR-E-U-0025,National Institute of Technology Warangal,2023,65,15,80,71,14,85,81,10,91,85.3333
IR-E-U-0378,Indian Institute of Technology Ropar,2023,42,10,52,32,0,32,28,0,28,37.3333
IR-E-U-0263,National Institute of Technology Calicut,2023,89,0,89,96,0,96,75,14,89,91.3333
IR-E-U-0308,Institute of Chemical Technology,2023,45,3,48,111,9,120,82,4,86,84.6667
IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,2023,51,32,83,44,14,58,40,16,56,65.6667
IR-E-U-0108,"Jamia Millia Islamia,New Delhi",2023,63,0,63,53,0,53,37,0,37,51
IR-E-U-0363,Siksha `O` Anusandhan,2023,57,0,57,63,5,68,65,7,72,65.6667
IR-E-U-0473,S.R.M. Institute of Science and Technology,2023,60,106,166,31,64,95,77,116,193,151.3333
IR-E-U-0098,Delhi Technological University,2023,28,24,52,33,20,53,30,43,73,59.3333
IR-E-U-0395,Indian Institute of Technology Jodhpur,2023,12,4,16,25,2,27,29,2,31,24.6667
IR-E-U-0497,Amity University,2023,42,61,103,39,95,134,26,57,83,106.6667
IR-E-U-0496,Aligarh Muslim University,2023,34,0,34,36,0,36,35,2,37,35.6667
