ft_year1,pt_year1,ft_year2,pt_year2,ft_year3,pt_year3,serial_number,Nphd,GPHD
278,3,231,0,203,2,1,239,16.98
295,60,238,69,230,71,2,321,17.49
382,31,416,26,122,150,3,375.6667,18.87
230,7,190,5,208,6,4,215.3333,16.08
324,0,396,0,349,0,5,356.3333,20.00
143,5,169,0,185,0,6,167.3333,14.44
240,30,195,14,161,18,7,219.3333,15.71
65,9,84,14,59,9,8,80,9.01
102,35,87,36,121,43,9,141.3333,11.35
188,5,95,0,112,0,10,133.3333,12.90
145,12,81,99,135,120,11,197.3333,12.31
131,0,136,0,102,0,12,123,12.46
169,105,60,106,31,64,13,178.3333,10.29
145,85,153,117,130,91,14,240.3333,13.43
239,204,163,87,76,37,15,268.6667,14.18
79,2,96,0,71,2,16,83.3333,9.96
121,17,103,23,104,16,17,128,11.70
40,1,37,1,84,1,18,54.6667,7.66
111,0,123,0,90,0,19,108,11.63
61,20,51,32,44,14,20,74,7.51
91,17,65,15,71,14,21,91,9.50
62,2,42,10,32,0,22,49.3333,6.85
24,20,11,34,13,25,23,42.3333,3.09
65,0,63,0,53,0,24,60.3333,8.26
90,0,89,0,96,0,25,91.6667,10.62
124,3,57,0,63,5,26,84,9.91
74,65,28,24,33,20,27,81.3333,6.81
20,2,12,4,25,2,28,21.6667,3.56
82,20,74,23,69,22,29,96.6667,9.45
50,108,42,61,39,95,30,131.6667,6.67
59,10,56,3,52,7,31,62.3333,7.85
77,38,79,0,77,0,32,90.3333,9.65
49,2,34,0,36,0,33,40.3333,6.24
72,9,90,12,38,2,34,74.3333,8.80
119,0,69,73,48,80,35,129.6667,9.72
89,13,63,11,64,13,36,84.3333,9.22
143,0,118,0,73,0,37,111.3333,11.82
130,9,61,10,43,7,38,86.6667,9.67
75,12,45,4,45,4,39,61.6667,7.79
79,11,47,8,52,16,40,71,8.18
53,5,45,3,111,9,41,75.3333,9.04
1,19,2,17,5,33,42,25.6667,0.60
56,21,65,32,59,31,43,88,8.23
57,8,96,0,72,0,44,77.6667,9.45
18,0,18,4,6,1,45,15.6667,2.76
38,36,62,26,32,36,46,76.6667,6.71
17,8,10,0,14,0,47,16.3333,2.71
29,3,42,9,27,24,48,44.6667,5.43
69,0,93,0,116,0,49,92.6667,10.69
50,58,18,76,14,39,50,85,4.75
27,5,21,7,12,1,51,24.3333,3.72
5,7,27,0,16,38,52,31,3.09
15,40,12,24,3,10,53,34.6667,2.06
40,0,55,0,35,0,54,43.3333,6.64
58,45,50,18,31,4,55,68.6667,6.95
39,0,25,0,19,2,56,28.3333,4.79
22,0,103,0,22,0,57,49,7.22
33,10,47,0,48,0,58,46,6.57
55,42,39,0,43,0,59,59.6667,6.88
35,14,51,17,84,15,60,72,7.94
3,0,4,0,1,0,61,2.6667,0.60
17,0,2,0,1,0,62,6.6667,1.43
11,11,7,7,18,22,63,25.3333,2.42
13,0,1,0,1,0,64,5,1.10
5,23,6,12,5,17,65,22.6667,1.16
65,44,27,82,25,105,66,116,6.17
14,42,18,43,20,41,67,59.3333,3.31
27,2,13,2,13,5,68,20.6667,3.36
26,164,5,69,10,81,69,118.3333,2.71
19,0,78,0,14,1,70,37.3333,5.94
59,26,59,21,46,29,71,80,7.76
57,8,19,31,20,58,72,64.3333,5.34
1,1,6,0,2,0,73,3.3333,0.67
9,2,7,3,2,3,74,8.6667,1.30
11,36,8,31,9,30,75,41.6667,1.94
23,10,12,10,13,13,76,27,3.09
16,18,10,27,10,23,77,34.6667,2.42
49,0,58,0,59,0,78,55.3333,7.82
59,2,43,7,45,4,79,53.3333,7.22
11,0,19,0,15,0,80,15,2.93
34,11,23,24,28,30,81,50,4.88
34,11,38,14,26,17,82,46.6667,5.43
2,13,2,8,4,35,83,21.3333,0.60
32,0,12,15,19,6,84,28,3.86
21,0,21,0,24,0,85,22,4.01
8,39,2,39,4,35,86,42.3333,1.03
21,0,49,0,29,0,87,33,5.47
8,146,11,148,18,271,88,200.6667,2.48
23,52,22,21,26,24,89,56,4.25
101,44,33,73,63,83,90,132.3333,8.71
32,20,28,37,17,35,91,56.3333,4.52
18,0,16,0,19,0,92,17.6667,3.36
0,8,6,0,5,0,93,6.3333,0.82
37,7,3,23,10,15,94,31.6667,3.20
20,0,21,0,26,0,95,22.3333,4.06
8,2,3,0,0,0,96,4.3333,0.82
17,5,12,5,2,2,97,14.3333,2.12
3,3,5,7,0,7,98,8.3333,0.60
6,82,11,67,1,28,99,65,1.30
10,9,2,5,5,10,100,13.6667,1.23
