ft_year1,pt_year1,ft_year2,pt_year2,ft_year3,pt_year3,S.No,Nphd,GPHD
289,25,278,3,231,0,1,275.3333,16.68
409,55,295,60,238,69,2,375.3333,17.89
451,40,382,31,416,26,3,448.6667,20
237,1,230,7,190,5,4,223.3333,15.3
494,0,324,0,396,0,5,404.6667,19.79
141,4,143,5,169,0,6,154,12.78
80,9,65,9,84,14,7,87,8.69
241,22,240,30,195,14,8,247.3333,15.5
136,49,102,35,87,36,9,148.3333,10.69
242,13,188,5,95,0,10,181,13.76
73,18,61,20,51,32,11,85,7.58
78,3,79,2,96,0,12,86,9.23
168,0,111,0,123,0,13,134,12.01
151,128,169,105,60,106,14,239.6667,11.65
190,111,239,204,163,87,15,331.3333,14.57
221,7,196,12,105,99,16,213.3333,13.72
106,33,121,17,103,23,17,134.3333,10.78
129,0,131,0,136,0,18,132,11.91
124,8,72,9,90,12,19,105,9.93
147,61,145,85,153,117,20,236,12.66
94,0,90,0,89,0,21,91,9.66
140,0,124,3,57,0,22,108,10.61
65,28,24,20,11,34,23,60.6667,4.91
69,0,65,0,63,0,24,65.6667,7.9
73,0,40,1,37,1,25,50.6667,6.58
47,2,59,10,56,3,26,59,6.94
25,0,20,2,12,4,27,21,3.14
89,18,91,17,65,15,28,98.3333,9.06
104,14,82,20,74,23,29,105.6667,9.39
137,66,74,65,28,24,30,131.3333,8.92
61,22,77,38,79,0,31,92.3333,8.4
113,2,62,2,42,10,32,77,8.4
94,24,89,13,63,11,33,98,9.08
40,6,49,2,34,0,34,43.6667,5.72
158,23,119,0,69,73,35,147.3333,11.07
144,0,143,0,118,0,36,135,12.05
63,99,50,108,42,61,37,141,6.73
23,9,17,8,10,12,38,26.3333,2.81
69,0,40,0,55,0,39,54.6667,6.99
132,0,130,9,61,10,40,114,10.65
62,11,53,5,45,3,41,59.6667,6.88
92,36,56,21,65,32,42,100.6667,8.3
3,32,1,19,2,17,43,24.6667,0.39
75,20,75,12,45,4,44,77,7.84
42,76,6,40,8,24,45,65.3333,3.09
43,48,32,51,42,31,46,82.3333,5.51
31,25,38,36,62,26,47,72.6667,5.98
53,102,29,58,18,76,48,112,4.91
80,6,57,8,96,0,49,82.3333,8.78
68,26,79,11,47,8,50,79.6667,7.82
48,7,29,3,42,9,51,46,5.58
6,10,5,7,27,0,52,18.3333,2.22
87,72,58,45,50,18,53,110,7.84
94,0,69,0,93,0,54,85.3333,9.3
60,10,33,10,47,0,55,53.3333,6.27
16,0,17,0,2,0,56,11.6667,2.06
5,0,3,0,4,0,57,4,0.77
5,24,5,23,6,12,58,25,1.01
42,0,39,0,25,0,59,35.3333,5.13
89,0,69,0,39,16,60,71,7.9
29,4,27,5,21,7,61,31,4.01
68,24,35,14,51,17,62,69.6667,6.7
29,0,26,0,21,0,63,25.3333,3.96
11,0,13,0,1,0,64,8.3333,1.52
22,1,18,0,18,4,65,21,3.18
42,39,55,42,39,0,66,72.3333,6.14
16,33,14,42,18,43,67,55.3333,2.71
39,55,31,44,27,82,68,92.6667,4.79
8,3,9,2,7,3,69,10.6667,1.47
30,0,22,0,103,0,70,51.6667,6.73
69,0,49,0,58,0,71,58.6667,7.33
6,3,1,1,6,0,72,5.6667,0.83
78,12,59,2,43,7,73,67,7.44
20,4,19,0,78,0,74,40.3333,5.51
14,34,11,36,8,31,75,44.6667,1.96
1,4,0,8,6,0,76,6.3333,0.45
15,0,6,0,2,0,77,7.6667,1.41
20,5,11,0,19,0,78,18.3333,2.81
11,6,23,10,12,10,79,24,2.62
54,12,32,20,28,37,80,61,5.41
46,0,57,8,19,31,81,53.6667,5.68
84,20,25,17,22,6,82,58,5.98
19,5,27,2,13,2,83,22.6667,3.23
24,0,20,0,21,0,84,21.6667,3.49
31,37,34,11,23,24,85,53.3333,4.45
57,28,59,26,59,21,86,83.3333,7.31
13,57,8,39,2,39,87,52.6667,1.41
112,83,101,44,33,73,88,148.6667,9.08
25,10,37,7,3,23,89,35,3.49
18,26,16,18,10,27,90,38.3333,2.52
3,2,3,3,5,7,91,7.6667,0.7
8,15,11,11,7,7,92,19.6667,1.58
29,0,21,0,12,0,93,20.6667,3.36
12,192,8,146,11,148,94,172.3333,1.85
27,3,8,2,3,0,95,14.3333,2.22
12,0,9,0,7,0,96,9.3333,1.69
43,6,21,7,21,7,97,35,4.33
10,7,4,15,3,11,98,16.6667,1.06
27,8,17,5,12,5,99,24.6667,3.09
10,25,2,13,2,8,100,20,0.89
