institute_id,institute_name,year,rank,GPHD,image_path,notes
IR-E-U-0456,Indian Institute of Technology Madras,2023,1,16.75,2023\001_Indian_Institute_of_Technology_Madras\scores.png,
IR-E-I-1074,Indian Institute of Technology Delhi,2023,2,16.73,2023\002_Indian_Institute_of_Technology_Delhi\scores.png,
IR-E-U-0306,Indian Institute of Technology Bombay,2023,3,17.20,2023\003_Indian_Institute_of_Technology_Bombay\scores.png,
IR-E-I-1075,Indian Institute of Technology Kanpur,2023,4,16.02,2023\004_Indian_Institute_of_Technology_Kanpur\scores.png,
IR-E-U-0560,Indian Institute of Technology Roorkee,2023,5,15.54,2023\005_Indian_Institute_of_Technology_Roorkee\scores.png,
IR-E-U-0573,Indian Institute of Technology Kharagpur,2023,6,20.00,2023\006_Indian_Institute_of_Technology_Kharagpur\scores.png,
IR-E-U-0053,Indian Institute of Technology Guwahati,2023,7,15.61,2023\007_Indian_Institute_of_Technology_Guwahati\scores.png,
IR-E-U-0013,Indian Institute of Technology Hyderabad,2023,8,8.43,2023\008_Indian_Institute_of_Technology_Hyderabad\scores.png,
IR-E-U-0467,National Institute of Technology Tiruchirappalli,2023,9,11.57,2023\009_National_Institute_of_Technology_Tiruchirappalli\scores.png,
IR-E-U-0575,Jadavpur University,2023,10,12.06,2023\010_Jadavpur_University\scores.png,
IR-E-U-0490,Vellore Institute of Technology,2023,11,14.11,2023\011_Vellore_Institute_of_Technology\scores.png,
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",2023,12,11.49,"2023\012_National_Institute_of_Technology_Karnataka,_Surathkal\scores.png",
IR-E-U-0439,Anna University,2023,13,12.25,2023\013_Anna_University\scores.png,
IR-E-U-0273,Indian Institute of Technology Indore,2023,14,9.84,2023\014_Indian_Institute_of_Technology_Indore\scores.png,
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,2023,15,11.51,2023\015_Indian_Institute_of_Technology_(Banaras_Hindu_University)_Varanasi\scores.png,
IR-E-U-0357,National Institute of Technology Rourkela,2023,16,11.61,2023\016_National_Institute_of_Technology_Rourkela\scores.png,
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),2023,17,11.22,2023\017_Indian_Institute_of_Technology_(Indian_School_of_Mines)\scores.png,
IR-E-U-0139,Indian Institute of Technology Gandhinagar,2023,18,7.91,2023\018_Indian_Institute_of_Technology_Gandhinagar\scores.png,
IR-E-U-0436,Amrita Vishwa Vidyapeetham,2023,19,2.28,2023\019_Amrita_Vishwa_Vidyapeetham\scores.png,
IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),2023,20,9.28,2023\020_Thapar_Institute_of_Engineering_and_Technology_(Deemed-to-be-university)\scores.png,
IR-E-U-0025,National Institute of Technology Warangal,2023,21,9.18,2023\021_National_Institute_of_Technology_Warangal\scores.png,
IR-E-U-0378,Indian Institute of Technology Ropar,2023,22,5.54,2023\022_Indian_Institute_of_Technology_Ropar\scores.png,
IR-E-U-0263,National Institute of Technology Calicut,2023,23,10.21,2023\023_National_Institute_of_Technology_Calicut\scores.png,
IR-E-U-0308,Institute of Chemical Technology,2023,24,9.70,2023\024_Institute_of_Chemical_Technology\scores.png,
IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,2023,25,6.76,2023\025_Birla_Institute_of_Technology_&_Science_-Pilani\scores.png,
IR-E-U-0108,"Jamia Millia Islamia,New Delhi",2023,26,7.35,"2023\026_Jamia_Millia_Islamia,New_Delhi\scores.png",
IR-E-U-0363,Siksha `O` Anusandhan,2023,27,8.31,2023\027_Siksha_`O`_Anusandhan\scores.png,
IR-E-U-0473,S.R.M. Institute of Science and Technology,2023,28,7.82,2023\028_S.R.M._Institute_of_Science_and_Technology\scores.png,
IR-E-U-0098,Delhi Technological University,2023,29,5.09,2023\029_Delhi_Technological_University\scores.png,
IR-E-U-0395,Indian Institute of Technology Jodhpur,2023,30,3.97,2023\030_Indian_Institute_of_Technology_Jodhpur\scores.png,
IR-E-U-0497,Amity University,2023,31,5.73,2023\031_Amity_University\scores.png,
